"filename", "language", "HTML", "UnityShader", "XML", "JSON", "C#", "Markdown", "Ini", "comment", "blank", "total"
"h:\C#\Projects\LyraGJ_Plus\AGENTS.md", "Markdown", 0, 0, 0, 0, 0, 11, 0, 2, 0, 13
"h:\C#\Projects\LyraGJ_Plus\Assets\FolderColor\Editor\CustomWindowFileImage.cs", "C#", 0, 0, 0, 0, 55, 0, 0, 0, 14, 69
"h:\C#\Projects\LyraGJ_Plus\Assets\FolderColor\Editor\ProjectAssetViewerCustomisation.cs", "C#", 0, 0, 0, 0, 101, 0, 0, 7, 22, 130
"h:\C#\Projects\LyraGJ_Plus\Assets\FolderColor\SaveSetUp\FolderModificationData.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"h:\C#\Projects\LyraGJ_Plus\Assets\NavMeshComponents\Editor\AgentOverride2dEditor.cs", "C#", 0, 0, 0, 0, 18, 0, 0, 8, 4, 30
"h:\C#\Projects\LyraGJ_Plus\Assets\NavMeshComponents\Editor\CollectSources2dEditor.cs", "C#", 0, 0, 0, 0, 74, 0, 0, 0, 9, 83
"h:\C#\Projects\LyraGJ_Plus\Assets\NavMeshComponents\Editor\CollectSourcesCache2dEditor.cs", "C#", 0, 0, 0, 0, 35, 0, 0, 0, 6, 41
"h:\C#\Projects\LyraGJ_Plus\Assets\NavMeshComponents\Editor\NavMeshAgentAttributePropertyDrawer.cs", "C#", 0, 0, 0, 0, 15, 0, 0, 3, 4, 22
"h:\C#\Projects\LyraGJ_Plus\Assets\NavMeshComponents\Editor\NavMeshAreaAttributePropertyDrawer.cs", "C#", 0, 0, 0, 0, 15, 0, 0, 3, 3, 21
"h:\C#\Projects\LyraGJ_Plus\Assets\NavMeshComponents\Editor\NavMeshAssetManager.cs", "C#", 0, 0, 0, 0, 267, 0, 0, 12, 56, 335
"h:\C#\Projects\LyraGJ_Plus\Assets\NavMeshComponents\Editor\NavMeshComponentsEditor.asmdef", "JSON", 0, 0, 0, 16, 0, 0, 0, 0, 0, 16
"h:\C#\Projects\LyraGJ_Plus\Assets\NavMeshComponents\Editor\NavMeshComponentsGUIUtility.cs", "C#", 0, 0, 0, 0, 226, 0, 0, 8, 43, 277
"h:\C#\Projects\LyraGJ_Plus\Assets\NavMeshComponents\Editor\NavMeshLinkEditor.cs", "C#", 0, 0, 0, 0, 224, 0, 0, 1, 55, 280
"h:\C#\Projects\LyraGJ_Plus\Assets\NavMeshComponents\Editor\NavMeshModifierEditor.cs", "C#", 0, 0, 0, 0, 35, 0, 0, 0, 12, 47
"h:\C#\Projects\LyraGJ_Plus\Assets\NavMeshComponents\Editor\NavMeshModifierTilemapEditor.cs", "C#", 0, 0, 0, 0, 167, 0, 0, 4, 28, 199
"h:\C#\Projects\LyraGJ_Plus\Assets\NavMeshComponents\Editor\NavMeshModifierVolumeEditor.cs", "C#", 0, 0, 0, 0, 110, 0, 0, 0, 28, 138
"h:\C#\Projects\LyraGJ_Plus\Assets\NavMeshComponents\Editor\NavMeshSurfaceEditor.cs", "C#", 0, 0, 0, 0, 350, 0, 0, 9, 70, 429
"h:\C#\Projects\LyraGJ_Plus\Assets\NavMeshComponents\Editor\RootSources2dEditor.cs", "C#", 0, 0, 0, 0, 29, 0, 0, 0, 8, 37
"h:\C#\Projects\LyraGJ_Plus\Assets\NavMeshComponents\Scripts\AgentOverride2d.cs", "C#", 0, 0, 0, 0, 33, 0, 0, 0, 4, 37
"h:\C#\Projects\LyraGJ_Plus\Assets\NavMeshComponents\Scripts\AgentRotate2d.cs", "C#", 0, 0, 0, 0, 13, 0, 0, 0, 3, 16
"h:\C#\Projects\LyraGJ_Plus\Assets\NavMeshComponents\Scripts\AgentRotateSmooth2d.cs", "C#", 0, 0, 0, 0, 14, 0, 0, 0, 3, 17
