Date : 2026-08-29 21:37:24
Directory : h:\C#\Projects\LyraGJ_Plus
Total : 220 files,  38371 codes, 2564 comments, 8517 blanks, all 49452 lines

Languages
+-------------+------------+------------+------------+------------+------------+
| language    | files      | code       | comment    | blank      | total      |
+-------------+------------+------------+------------+------------+------------+
| C#          |        177 |     15,131 |      2,060 |      3,038 |     20,229 |
| Ini         |          1 |     13,255 |        274 |      3,451 |     16,980 |
| HTML        |          3 |      4,782 |         84 |        840 |      5,706 |
| UnityShader |         21 |      3,004 |        114 |        790 |      3,908 |
| JSON        |         10 |        855 |          0 |          5 |        860 |
| Markdown    |          7 |        819 |          2 |        331 |      1,152 |
| XML         |          1 |        525 |         30 |         62 |        617 |
+-------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                       | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                          |        220 |     38,371 |      2,564 |      8,517 |     49,452 |
| . (Files)                                                                                                                  |          2 |         13 |          2 |          2 |         17 |
| Assets                                                                                                                     |        170 |     13,233 |      1,161 |      2,499 |     16,893 |
| Assets\FolderColor                                                                                                         |          3 |        157 |          7 |         36 |        200 |
| Assets\FolderColor\Editor                                                                                                  |          2 |        156 |          7 |         36 |        199 |
| Assets\FolderColor\SaveSetUp                                                                                               |          1 |          1 |          0 |          0 |          1 |
| Assets\NavMeshComponents                                                                                                   |         35 |      3,371 |        108 |        578 |      4,057 |
| Assets\NavMeshComponents\Editor                                                                                            |         14 |      1,581 |         48 |        326 |      1,955 |
| Assets\NavMeshComponents\Scripts                                                                                           |         21 |      1,790 |         60 |        252 |      2,102 |
| Assets\Scripts                                                                                                             |        110 |      6,546 |        932 |      1,093 |      8,571 |
| Assets\Scripts (Files)                                                                                                     |          4 |         82 |          4 |         25 |        111 |
| Assets\Scripts\CrossSceneObjects                                                                                           |          4 |        409 |          9 |         63 |        481 |
| Assets\Scripts\ManagementScripts                                                                                           |         10 |      1,136 |        178 |        168 |      1,482 |
| Assets\Scripts\RoomScripts                                                                                                 |          6 |        294 |         59 |         58 |        411 |
| Assets\Scripts\ScriptableObjects                                                                                           |         15 |        385 |         38 |         73 |        496 |
| Assets\Scripts\ScriptableObjects (Files)                                                                                   |          2 |         33 |          1 |         11 |         45 |
| Assets\Scripts\ScriptableObjects\Action_SO                                                                                 |          4 |         63 |         11 |         18 |         92 |
| Assets\Scripts\ScriptableObjects\Cutscenes                                                                                 |          2 |         37 |          0 |          8 |         45 |
| Assets\Scripts\ScriptableObjects\EnemyBehavior_SO                                                                          |          3 |         89 |          9 |         17 |        115 |
| Assets\Scripts\ScriptableObjects\Level_SO                                                                                  |          3 |        158 |         17 |         16 |        191 |
| Assets\Scripts\ScriptableObjects\RoomDirectionMethods                                                                      |          1 |          5 |          0 |          3 |          8 |
| Assets\Scripts\UI                                                                                                          |         15 |        787 |         65 |        124 |        976 |
| Assets\Scripts\Units                                                                                                       |         43 |      2,929 |        548 |        473 |      3,950 |
| Assets\Scripts\Units (Files)                                                                                               |         26 |      2,133 |        354 |        356 |      2,843 |
| Assets\Scripts\Units\Player                                                                                                |          7 |        327 |         97 |         45 |        469 |
| Assets\Scripts\Units\Weapons                                                                                               |         10 |        469 |         97 |         72 |        638 |
| Assets\Scripts\misc                                                                                                        |         13 |        524 |         31 |        109 |        664 |
| Assets\Shaders                                                                                                             |          1 |         92 |          3 |         20 |        115 |
| Assets\Sprites                                                                                                             |          1 |         52 |          0 |         14 |         66 |
| Assets\Sprites\Shaders                                                                                                     |          1 |         52 |          0 |         14 |         66 |
| Assets\TextMesh Pro                                                                                                        |         20 |      3,015 |        111 |        758 |      3,884 |
| Assets\TextMesh Pro\Shaders                                                                                                |         19 |      2,860 |        111 |        756 |      3,727 |
| Assets\TextMesh Pro\Sprites                                                                                                |          1 |        155 |          0 |          2 |        157 |
| LyrawindowsBuild                                                                                                           |          7 |     18,564 |        388 |      4,354 |     23,306 |
| LyrawindowsBuild\Lyra Echoes Through Time_Data                                                                             |          2 |          2 |          0 |          1 |          3 |
| LyrawindowsBuild\MonoBleedingEdge                                                                                          |          5 |     18,562 |        388 |      4,353 |     23,303 |
| LyrawindowsBuild\MonoBleedingEdge\etc                                                                                      |          5 |     18,562 |        388 |      4,353 |     23,303 |
| LyrawindowsBuild\MonoBleedingEdge\etc\mono                                                                                 |          5 |     18,562 |        388 |      4,353 |     23,303 |
| LyrawindowsBuild\MonoBleedingEdge\etc\mono (Files)                                                                         |          1 |     13,255 |        274 |      3,451 |     16,980 |
| LyrawindowsBuild\MonoBleedingEdge\etc\mono\2.0                                                                             |          1 |      1,594 |         28 |        280 |      1,902 |
| LyrawindowsBuild\MonoBleedingEdge\etc\mono\4.0                                                                             |          1 |      1,594 |         28 |        280 |      1,902 |
| LyrawindowsBuild\MonoBleedingEdge\etc\mono\4.5                                                                             |          1 |      1,594 |         28 |        280 |      1,902 |
| LyrawindowsBuild\MonoBleedingEdge\etc\mono\mconfig                                                                         |          1 |        525 |         30 |         62 |        617 |
| Packages                                                                                                                   |         41 |      6,561 |      1,013 |      1,662 |      9,236 |
| Packages (Files)                                                                                                           |          2 |        612 |          0 |          2 |        614 |
| Packages\com.merry-yellow.code-assist                                                                                      |         39 |      5,949 |      1,013 |      1,660 |      8,622 |
| Packages\com.merry-yellow.code-assist (Files)                                                                              |          5 |        833 |          0 |        327 |      1,160 |
| Packages\com.merry-yellow.code-assist\Editor                                                                               |         33 |      5,110 |      1,013 |      1,331 |      7,454 |
| Packages\com.merry-yellow.code-assist\Editor (Files)                                                                       |         17 |      3,133 |        496 |        796 |      4,425 |
| Packages\com.merry-yellow.code-assist\Editor\EditorCoroutines                                                              |          4 |        198 |        210 |         36 |        444 |
| Packages\com.merry-yellow.code-assist\Editor\Input                                                                         |          4 |        629 |        157 |        171 |        957 |
| Packages\com.merry-yellow.code-assist\Editor\Logger                                                                        |          4 |        382 |         44 |        129 |        555 |
| Packages\com.merry-yellow.code-assist\Editor\Preferences                                                                   |          4 |        768 |        106 |        199 |      1,073 |
| Packages\com.merry-yellow.code-assist\Installers~                                                                          |          1 |          6 |          0 |          2 |          8 |
+----------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------------------------------------+-------------+------------+------------+------------+------------+
| filename                                                                                                                   | language    | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------+-------------+------------+------------+------------+------------+
| h:\C#\Projects\LyraGJ_Plus\AGENTS.md                                                                                       | Markdown    |         11 |          2 |          0 |         13 |
| h:\C#\Projects\LyraGJ_Plus\Assets\FolderColor\Editor\CustomWindowFileImage.cs                                              | C#          |         55 |          0 |         14 |         69 |
| h:\C#\Projects\LyraGJ_Plus\Assets\FolderColor\Editor\ProjectAssetViewerCustomisation.cs                                    | C#          |        101 |          7 |         22 |        130 |
| h:\C#\Projects\LyraGJ_Plus\Assets\FolderColor\SaveSetUp\FolderModificationData.json                                        | JSON        |          1 |          0 |          0 |          1 |
| h:\C#\Projects\LyraGJ_Plus\Assets\NavMeshComponents\Editor\AgentOverride2dEditor.cs                                        | C#          |         18 |          8 |          4 |         30 |
| h:\C#\Projects\LyraGJ_Plus\Assets\NavMeshComponents\Editor\CollectSources2dEditor.cs                                       | C#          |         74 |          0 |          9 |         83 |
| h:\C#\Projects\LyraGJ_Plus\Assets\NavMeshComponents\Editor\CollectSourcesCache2dEditor.cs                                  | C#          |         35 |          0 |          6 |         41 |
| h:\C#\Projects\LyraGJ_Plus\Assets\NavMeshComponents\Editor\NavMeshAgentAttributePropertyDrawer.cs                          | C#          |         15 |          3 |          4 |         22 |
| h:\C#\Projects\LyraGJ_Plus\Assets\NavMeshComponents\Editor\NavMeshAreaAttributePropertyDrawer.cs                           | C#          |         15 |          3 |          3 |         21 |
| h:\C#\Projects\LyraGJ_Plus\Assets\NavMeshComponents\Editor\NavMeshAssetManager.cs                                          | C#          |        267 |         12 |         56 |        335 |
| h:\C#\Projects\LyraGJ_Plus\Assets\NavMeshComponents\Editor\NavMeshComponentsEditor.asmdef                                  | JSON        |         16 |          0 |          0 |         16 |
| h:\C#\Projects\LyraGJ_Plus\Assets\NavMeshComponents\Editor\NavMeshComponentsGUIUtility.cs                                  | C#          |        226 |          8 |         43 |        277 |
| h:\C#\Projects\LyraGJ_Plus\Assets\NavMeshComponents\Editor\NavMeshLinkEditor.cs                                            | C#          |        224 |          1 |         55 |        280 |
| h:\C#\Projects\LyraGJ_Plus\Assets\NavMeshComponents\Editor\NavMeshModifierEditor.cs                                        | C#          |         35 |          0 |         12 |         47 |
| h:\C#\Projects\LyraGJ_Plus\Assets\NavMeshComponents\Editor\NavMeshModifierTilemapEditor.cs                                 | C#          |        167 |          4 |         28 |        199 |
| h:\C#\Projects\LyraGJ_Plus\Assets\NavMeshComponents\Editor\NavMeshModifierVolumeEditor.cs                                  | C#          |        110 |          0 |         28 |        138 |
| h:\C#\Projects\LyraGJ_Plus\Assets\NavMeshComponents\Editor\NavMeshSurfaceEditor.cs                                         | C#          |        350 |          9 |         70 |        429 |
| h:\C#\Projects\LyraGJ_Plus\Assets\NavMeshComponents\Editor\RootSources2dEditor.cs                                          | C#          |         29 |          0 |          8 |         37 |
| h:\C#\Projects\LyraGJ_Plus\Assets\NavMeshComponents\Scripts\AgentOverride2d.cs                                             | C#          |         33 |          0 |          4 |         37 |
| h:\C#\Projects\LyraGJ_Plus\Assets\NavMeshComponents\Scripts\AgentRotate2d.cs                                               | C#          |         13 |          0 |          3 |         16 |
| h:\C#\Projects\LyraGJ_Plus\Assets\NavMeshComponents\Scripts\AgentRotateSmooth2d.cs                                         | C#          |         14 |          0 |          3 |         17 |
| h:\C#\Projects\LyraGJ_Plus\Assets\NavMeshComponents\Scripts\CollectSources2d.cs                                            | C#          |         83 |          0 |          8 |         91 |
| h:\C#\Projects\LyraGJ_Plus\Assets\NavMeshComponents\Scripts\CollectSourcesCache2d.cs                                       | C#          |        105 |          0 |         11 |        116 |
| h:\C#\Projects\LyraGJ_Plus\Assets\NavMeshComponents\Scripts\CollectTilemapSourcesCache2d.cs                                | C#          |         86 |          0 |         10 |         96 |
| h:\C#\Projects\LyraGJ_Plus\Assets\NavMeshComponents\Scripts\NavMeshAgentAttribute.cs                                       | C#          |          8 |          3 |          2 |         13 |
| h:\C#\Projects\LyraGJ_Plus\Assets\NavMeshComponents\Scripts\NavMeshAreaAttribute.cs                                        | C#          |          8 |          4 |          2 |         14 |
| h:\C#\Projects\LyraGJ_Plus\Assets\NavMeshComponents\Scripts\NavMeshBuilder2d.cs                                            | C#          |        355 |          6 |         38 |        399 |
| h:\C#\Projects\LyraGJ_Plus\Assets\NavMeshComponents\Scripts\NavMeshBuilderState.cs                                         | C#          |         86 |         10 |         13 |        109 |
| h:\C#\Projects\LyraGJ_Plus\Assets\NavMeshComponents\Scripts\NavMeshComponents.asmdef                                       | JSON        |         20 |          0 |          0 |         20 |
| h:\C#\Projects\LyraGJ_Plus\Assets\NavMeshComponents\Scripts\NavMeshExtension.cs                                            | C#          |         56 |          0 |          3 |         59 |
| h:\C#\Projects\LyraGJ_Plus\Assets\NavMeshComponents\Scripts\NavMeshExtensionsProvider.cs                                   | C#          |         51 |          0 |          7 |         58 |
| h:\C#\Projects\LyraGJ_Plus\Assets\NavMeshComponents\Scripts\NavMeshLink.cs                                                 | C#          |        145 |          0 |         31 |        176 |
| h:\C#\Projects\LyraGJ_Plus\Assets\NavMeshComponents\Scripts\NavMeshModifier.cs                                             | C#          |         45 |          2 |         10 |         57 |
| h:\C#\Projects\LyraGJ_Plus\Assets\NavMeshComponents\Scripts\NavMeshModifierTilemap.cs                                      | C#          |         67 |          5 |         12 |         84 |
| h:\C#\Projects\LyraGJ_Plus\Assets\NavMeshComponents\Scripts\NavMeshModifierVolume.cs                                       | C#          |         45 |          2 |         10 |         57 |
| h:\C#\Projects\LyraGJ_Plus\Assets\NavMeshComponents\Scripts\NavMeshSurface.cs                                              | C#          |        460 |         22 |         71 |        553 |
| h:\C#\Projects\LyraGJ_Plus\Assets\NavMeshComponents\Scripts\RootSources2d.cs                                               | C#          |         28 |          0 |          5 |         33 |
| h:\C#\Projects\LyraGJ_Plus\Assets\NavMeshComponents\Scripts\RotateAgentInstantly.cs                                        | C#          |         33 |          3 |          4 |         40 |
| h:\C#\Projects\LyraGJ_Plus\Assets\NavMeshComponents\Scripts\RotateAgentSmoothly.cs                                         | C#          |         49 |          3 |          5 |         57 |
| h:\C#\Projects\LyraGJ_Plus\Assets\Scripts\ButtonTester.cs                                                                  | C#          |         18 |          0 |          3 |         21 |
| h:\C#\Projects\LyraGJ_Plus\Assets\Scripts\CloseDoor.cs                                                                     | C#          |         39 |          0 |         13 |         52 |
| h:\C#\Projects\LyraGJ_Plus\Assets\Scripts\CrossSceneObjects\CameraFollowing.cs                                             | C#          |         93 |          2 |         15 |        110 |
| h:\C#\Projects\LyraGJ_Plus\Assets\Scripts\CrossSceneObjects\MySceneManager.cs                                              | C#          |        278 |          7 |         41 |        326 |
| h:\C#\Projects\LyraGJ_Plus\Assets\Scripts\CrossSceneObjects\Portal.cs                                                      | C#          |         13 |          0 |          2 |         15 |
| h:\C#\Projects\LyraGJ_Plus\Assets\Scripts\CrossSceneObjects\PortalSwithable.cs                                             | C#          |         25 |          0 |          5 |         30 |
| h:\C#\Projects\LyraGJ_Plus\Assets\Scripts\ManagementScripts\CutscenesPlayer.cs                                             | C#          |        184 |          5 |         27 |        216 |
| h:\C#\Projects\LyraGJ_Plus\Assets\Scripts\ManagementScripts\GameManager.cs                                                 | C#          |        128 |         14 |         14 |        156 |
| h:\C#\Projects\LyraGJ_Plus\Assets\Scripts\ManagementScripts\GlobalEventManager.cs                                          | C#          |         52 |          7 |          8 |         67 |
| h:\C#\Projects\LyraGJ_Plus\Assets\Scripts\ManagementScripts\LevelManager.cs                                                | C#          |         17 |          1 |         11 |         29 |
| h:\C#\Projects\LyraGJ_Plus\Assets\Scripts\ManagementScripts\MySoundManager.cs                                              | C#          |        298 |          7 |         50 |        355 |
| h:\C#\Projects\LyraGJ_Plus\Assets\Scripts\ManagementScripts\PlayerManager.cs                                               | C#          |         10 |          0 |          3 |         13 |
| h:\C#\Projects\LyraGJ_Plus\Assets\Scripts\ManagementScripts\PlayerWeaponTracker.cs                                         | C#          |         61 |         47 |          5 |        113 |
| h:\C#\Projects\LyraGJ_Plus\Assets\Scripts\ManagementScripts\RoomManager.cs                                                 | C#          |         82 |          9 |         18 |        109 |
| h:\C#\Projects\LyraGJ_Plus\Assets\Scripts\ManagementScripts\RoomSpawner.cs                                                 | C#          |        296 |         88 |         29 |        413 |
| h:\C#\Projects\LyraGJ_Plus\Assets\Scripts\ManagementScripts\WeaponsSetup.cs                                                | C#          |          8 |          0 |          3 |         11 |
| h:\C#\Projects\LyraGJ_Plus\Assets\Scripts\NavMeshChck.cs                                                                   | C#          |         10 |          2 |          5 |         17 |
| h:\C#\Projects\LyraGJ_Plus\Assets\Scripts\RoomScripts\EntryTrigger.cs                                                      | C#          |         13 |          0 |          3 |         16 |
| h:\C#\Projects\LyraGJ_Plus\Assets\Scripts\RoomScripts\EntryTriggers.cs                                                     | C#          |          4 |          0 |          3 |          7 |
| h:\C#\Projects\LyraGJ_Plus\Assets\Scripts\RoomScripts\Room.cs                                                              | C#          |        243 |         54 |         41 |        338 |
| h:\C#\Projects\LyraGJ_Plus\Assets\Scripts\RoomScripts\RoomObjectSpawner.cs                                                 | C#          |         12 |          0 |          3 |         15 |
| h:\C#\Projects\LyraGJ_Plus\Assets\Scripts\RoomScripts\SpawnTrigger.cs                                                      | C#          |         12 |          3 |          3 |         18 |
| h:\C#\Projects\LyraGJ_Plus\Assets\Scripts\RoomScripts\UnitTracker.cs                                                       | C#          |         10 |          2 |          5 |         17 |
| h:\C#\Projects\LyraGJ_Plus\Assets\Scripts\ScriptableObjects\Action_SO\Action_SO.cs                                         | C#          |         23 |          5 |          8 |         36 |
| h:\C#\Projects\LyraGJ_Plus\Assets\Scripts\ScriptableObjects\Action_SO\MeleeSinglePunch_SO.cs                               | C#          |          4 |          0 |          3 |          7 |
| h:\C#\Projects\LyraGJ_Plus\Assets\Scripts\ScriptableObjects\Action_SO\SingleShot_SO.cs                                     | C#          |         12 |          3 |          1 |         16 |
| h:\C#\Projects\LyraGJ_Plus\Assets\Scripts\ScriptableObjects\Action_SO\SpreadShot_SO.cs                                     | C#          |         24 |          3 |          6 |         33 |
| h:\C#\Projects\LyraGJ_Plus\Assets\Scripts\ScriptableObjects\Cutscenes\CharacterPortrait_SO.cs                              | C#          |         13 |          0 |          3 |         16 |
| h:\C#\Projects\LyraGJ_Plus\Assets\Scripts\ScriptableObjects\Cutscenes\Dialogue_SO.cs                                       | C#          |         24 |          0 |          5 |         29 |
| h:\C#\Projects\LyraGJ_Plus\Assets\Scripts\ScriptableObjects\EnemyBehavior_SO\EnemyBehavior_SO.cs                           | C#          |         17 |          3 |          2 |         22 |
| h:\C#\Projects\LyraGJ_Plus\Assets\Scripts\ScriptableObjects\EnemyBehavior_SO\MeleeBasic_SO.cs                              | C#          |         24 |          0 |          6 |         30 |
| h:\C#\Projects\LyraGJ_Plus\Assets\Scripts\ScriptableObjects\EnemyBehavior_SO\RangedBasic_SO.cs                             | C#          |         48 |          6 |          9 |         63 |
| h:\C#\Projects\LyraGJ_Plus\Assets\Scripts\ScriptableObjects\EnemyConversation_SO.cs                                        | C#          |         13 |          0 |          4 |         17 |
| h:\C#\Projects\LyraGJ_Plus\Assets\Scripts\ScriptableObjects\Enemy_SO.cs                                                    | C#          |         20 |          1 |          7 |         28 |
| h:\C#\Projects\LyraGJ_Plus\Assets\Scripts\ScriptableObjects\Level_SO\ClearXAmountRooms_SO.cs                               | C#          |         33 |          3 |          7 |         43 |
| h:\C#\Projects\LyraGJ_Plus\Assets\Scripts\ScriptableObjects\Level_SO\Level_SO.cs                                           | C#          |         44 |          7 |          4 |         55 |
